S. No.,Number of Threads per Block,Additions per thread,Time(ms)
1,32,1,2.62595
2,32,2,1.98035
3,32,4,1.95245
4,32,8,3.31123
5,32,16,4.68182
6,32,32,21.791
7,32,64,29.8391
8,32,128,32.8121
9,32,256,33.5097
10,32,512,33.8974
2,64,1,1.49008
4,64,2,1.39462
6,64,4,1.65658
8,64,8,3.29261
10,64,16,14.5457
12,64,32,30.685
14,64,64,34.5737
16,64,128,36.4863
18,64,256,36.5253
20,64,512,36.9082
3,128,1,1.19139
6,128,2,1.27802
9,128,4,1.6535
12,128,8,11.3723
15,128,16,16.3017
18,128,32,34.074
21,128,64,36.2381
24,128,128,37.4393
27,128,256,36.7127
30,128,512,39.8948
4,256,1,1.19603
8,256,2,1.2888
12,256,4,1.65472
16,256,8,11.031
20,256,16,16.2804
24,256,32,33.9274
28,256,64,36.0068
32,256,128,37.7362
36,256,256,36.9562
40,256,512,39.8964
5,512,1,1.22339
10,512,2,1.29254
15,512,4,1.67078
20,512,8,10.9139
25,512,16,16.1043
30,512,32,33.5564
35,512,64,36.0869
40,512,128,37.3426
45,512,256,37.7877
50,512,512,40.0716
